m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
12, 12, 1, 12, 12, 1, 84.705879
14, 14, 1, 14, 14, 1, 110.943398
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.874252
4, 4, 8, 4, 4, 2, 7.950310
6, 6, 12, 6, 6, 2, 11.474103
8, 8, 16, 8, 8, 2, 13.580901
10, 10, 20, 10, 10, 2, 14.778325
12, 12, 24, 12, 12, 2, 14.845361
14, 14, 28, 14, 14, 2, 15.560700
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.529412
4, 2, 2, 1, 1, 2, 6.956522
6, 2, 2, 1, 1, 2, 10.397112
8, 2, 2, 1, 1, 2, 13.862816
10, 2, 2, 1, 1, 2, 16.666666
12, 2, 2, 1, 1, 2, 19.658703
14, 2, 2, 1, 1, 2, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.555556
2, 4, 4, 1, 1, 4, 6.620689
2, 6, 6, 1, 1, 6, 10.549450
2, 8, 8, 1, 1, 8, 14.014599
2, 10, 10, 1, 1, 10, 16.783216
2, 12, 12, 1, 1, 12, 19.793816
2, 14, 14, 1, 1, 14, 23.252596
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.057325
4, 4, 4, 1, 4, 1, 8.050315
6, 6, 6, 1, 6, 1, 13.231240
8, 8, 8, 1, 8, 1, 16.659435
10, 10, 10, 1, 10, 1, 17.556694
12, 12, 12, 1, 12, 1, 19.221357
14, 14, 14, 1, 14, 1, 20.888100
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.981366
4, 4, 1, 4, 1, 4, 8.384279
6, 6, 1, 6, 1, 6, 13.090909
8, 8, 1, 8, 1, 8, 16.677525
10, 10, 1, 10, 1, 10, 19.246191
12, 12, 1, 12, 1, 12, 19.525423
14, 14, 1, 14, 1, 14, 20.354824
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.568774
4, 4, 4, 1, 1, 4, 13.812950
6, 6, 6, 1, 1, 6, 28.704317
8, 8, 8, 1, 1, 8, 51.200001
10, 10, 10, 1, 1, 10, 66.666664
12, 12, 12, 1, 1, 12, 78.190041
14, 14, 14, 1, 1, 14, 108.137932
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.555556
4, 4, 1, 4, 4, 1, 13.665481
6, 6, 1, 6, 6, 1, 28.327868
8, 8, 1, 8, 8, 1, 46.829269
10, 10, 1, 10, 10, 1, 58.679707
12, 12, 1, 12, 12, 1, 78.904106
14, 14, 1, 14, 14, 1, 102.260872
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.857143
4, 4, 8, 4, 4, 2, 7.950310
6, 6, 12, 6, 6, 2, 11.489362
8, 8, 16, 8, 8, 2, 13.485514
10, 10, 20, 10, 10, 2, 14.842300
12, 12, 24, 12, 12, 2, 14.819898
14, 14, 28, 14, 14, 2, 15.494072
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.503650
4, 2, 2, 1, 1, 2, 7.058824
6, 2, 2, 1, 1, 2, 10.588235
8, 2, 2, 1, 1, 2, 13.812950
10, 2, 2, 1, 1, 2, 16.783216
12, 2, 2, 1, 1, 2, 20.000000
14, 2, 2, 1, 1, 2, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.595506
2, 4, 4, 1, 1, 4, 7.007299
2, 6, 6, 1, 1, 6, 10.397112
2, 8, 8, 1, 1, 8, 13.862816
2, 10, 10, 1, 1, 10, 16.551723
2, 12, 12, 1, 1, 12, 19.793816
2, 14, 14, 1, 1, 14, 23.496502
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.340782
4, 4, 4, 1, 4, 1, 2.621161
6, 6, 6, 1, 6, 1, 4.075472
8, 8, 8, 1, 8, 1, 4.604317
10, 10, 10, 1, 10, 1, 5.301525
12, 12, 12, 1, 12, 1, 7.318933
14, 14, 14, 1, 14, 1, 9.543518
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 1.149701
4, 4, 1, 4, 1, 4, 12.885906
6, 6, 1, 6, 1, 6, 19.816513
8, 8, 1, 8, 1, 8, 4.745134
10, 10, 1, 10, 1, 10, 4.845548
12, 12, 1, 12, 1, 12, 5.297364
14, 14, 1, 14, 1, 14, 7.788080
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.536013
4, 4, 4, 1, 1, 4, 4.776120
6, 6, 6, 1, 1, 6, 9.220918
8, 8, 8, 1, 1, 8, 17.239058
10, 10, 10, 1, 1, 10, 23.645321
12, 12, 12, 1, 1, 12, 26.666666
