m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
10, 2, 2, 1, 1, 2, 16.438356
12, 2, 2, 1, 1, 2, 19.930796
14, 2, 2, 1, 1, 2, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.582089
2, 4, 4, 1, 1, 4, 7.007299
2, 6, 6, 1, 1, 6, 10.472727
2, 8, 8, 1, 1, 8, 13.963635
2, 10, 10, 1, 1, 10, 16.382254
2, 12, 12, 1, 1, 12, 19.658703
2, 14, 14, 1, 1, 14, 23.092785
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.096774
4, 4, 4, 1, 4, 1, 8.476821
6, 6, 6, 1, 6, 1, 11.917242
8, 8, 8, 1, 8, 1, 14.182826
10, 10, 10, 1, 10, 1, 16.172506
12, 12, 12, 1, 12, 1, 16.575539
14, 14, 14, 1, 14, 1, 18.310627
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.972136
4, 4, 1, 4, 1, 4, 7.917526
6, 6, 1, 6, 1, 6, 11.091143
8, 8, 1, 8, 1, 8, 13.173243
10, 10, 1, 10, 1, 10, 14.371257
12, 12, 1, 12, 1, 12, 14.358123
14, 14, 1, 14, 1, 14, 15.120541
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.582089
4, 4, 4, 1, 1, 4, 14.117647
6, 6, 6, 1, 1, 6, 28.799999
8, 8, 8, 1, 1, 8, 50.526318
10, 10, 10, 1, 1, 10, 66.666664
12, 12, 12, 1, 1, 12, 79.815239
14, 14, 14, 1, 1, 14, 106.666672
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.542435
4, 4, 1, 4, 4, 1, 14.117647
6, 6, 1, 6, 6, 1, 28.514851
8, 8, 1, 8, 8, 1, 50.693066
10, 10, 1, 10, 10, 1, 66.115700
12, 12, 1, 12, 12, 1, 84.498779
14, 14, 1, 14, 14, 1, 110.163933
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.891566
4, 4, 8, 4, 4, 2, 7.950310
6, 6, 12, 6, 6, 2, 12.050209
8, 8, 16, 8, 8, 2, 14.970760
10, 10, 20, 10, 10, 2, 16.973125
12, 12, 24, 12, 12, 2, 17.202589
14, 14, 28, 14, 14, 2, 18.382179
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.542435
4, 2, 2, 1, 1, 2, 7.007299
6, 2, 2, 1, 1, 2, 10.472727
8, 2, 2, 1, 1, 2, 13.763440
10, 2, 2, 1, 1, 2, 16.724739
12, 2, 2, 1, 1, 2, 19.658703
14, 2, 2, 1, 1, 2, 23.013699
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.595506
2, 4, 4, 1, 1, 4, 6.956522
2, 6, 6, 1, 1, 6, 10.549450
2, 8, 8, 1, 1, 8, 14.065933
2, 10, 10, 1, 1, 10, 16.724739
2, 12, 12, 1, 1, 12, 20.000000
2, 14, 14, 1, 1, 14, 23.172413
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.076923
4, 4, 4, 1, 4, 1, 8.402626
6, 6, 6, 1, 6, 1, 11.950208
8, 8, 8, 1, 8, 1, 14.628572
10, 10, 10, 1, 10, 1, 15.665796
12, 12, 12, 1, 12, 1, 15.407935
14, 14, 14, 1, 14, 1, 18.253782
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 3.028391
4, 4, 1, 4, 1, 4, 8.050315
6, 6, 1, 6, 1, 6, 11.458886
8, 8, 1, 8, 1, 8, 13.509234
10, 10, 1, 10, 1, 10, 14.687882
12, 12, 1, 12, 1, 12, 14.731459
14, 14, 1, 14, 1, 14, 15.438136
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.720930
4, 4, 4, 1, 1, 4, 14.490566
6, 6, 6, 1, 1, 6, 27.169811
8, 8, 8, 1, 1, 8, 52.244896
10, 10, 10, 1, 1, 10, 68.181816
12, 12, 12, 1, 1, 12, 88.615387
14, 14, 14, 1, 1, 14, 113.349403
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.636364
4, 4, 1, 4, 4, 1, 14.328358
6, 6, 1, 6, 6, 1, 29.090910
8, 8, 1, 8, 8, 1, 52.423210
10, 10, 1, 10, 10, 1, 67.605637
12, 12, 1, 12, 12, 1, 87.493668
14, 14, 1, 14, 14, 1, 112.805756
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.972136
4, 4, 8, 4, 4, 2, 8.084210
6, 6, 12, 6, 6, 2, 12.325250
8, 8, 16, 8, 8, 2, 15.298804
10, 10, 20, 10, 10, 2, 17.328520
12, 12, 24, 12, 12, 2, 17.489878
14, 14, 28, 14, 14, 2, 18.711216
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.692307
4, 2, 2, 1, 1, 2, 7.191011
6, 2, 2, 1, 1, 2, 10.867925
8, 2, 2, 1, 1, 2, 14.436090
10, 2, 2, 1, 1, 2, 17.021276
12, 2, 2, 1, 1, 2, 20.645161
14, 2, 2, 1, 1, 2, 23.914591
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.636364
2, 4, 4, 1, 1, 4, 7.191011
2, 6, 6, 1, 1, 6, 10.827067
2, 8, 8, 1, 1, 8, 14.275094
2, 10, 10, 1, 1, 10, 16.901409
2, 12, 12, 1, 1, 12, 20.645161
2, 14, 14, 1, 1, 14, 23.745583
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.000000
4, 4, 4, 1, 4, 1, 8.275863
6, 6, 6, 1, 6, 1, 11.659919
8, 8, 8, 1, 8, 1, 14.600760
10, 10, 10, 1, 10, 1, 15.170670
12, 12, 12, 1, 12, 1, 16.263529
14, 14, 14, 1, 14, 1, 18.092308
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.953846
4, 4, 1, 4, 1, 4, 7.917526
6, 6, 1, 6, 1, 6, 11.162791
8, 8, 1, 8, 1, 8, 13.195876
10, 10, 1, 10, 1, 10, 14.405763
12, 12, 1, 12, 1, 12, 14.406002
14, 14, 1, 14, 1, 14, 15.125402
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.595506
4, 4, 4, 1, 1, 4, 13.963635
6, 6, 6, 1, 1, 6, 28.799999
8, 8, 8, 1, 1, 8, 50.693066
10, 10, 10, 1, 1, 10, 67.039108
12, 12, 12, 1, 1, 12, 85.544556
14, 14, 14, 1, 1, 14, 111.205673
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.636364
4, 4, 1, 4, 4, 1, 14.117647
6, 6, 1, 6, 6, 1, 28.896322
8, 8, 1, 8, 8, 1, 51.029900
10, 10, 1, 10, 10, 1, 66.481995
12, 12, 1, 12, 12, 1, 87.272728
14, 14, 1, 14, 14, 1, 113.898308
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.981366
4, 4, 8, 4, 4, 2, 8.118393
6, 6, 12, 6, 6, 2, 12.360516
8, 8, 16, 8, 8, 2, 15.298804
10, 10, 20, 10, 10, 2, 17.366137
12, 12, 24, 12, 12, 2, 17.552057
14, 14, 28, 14, 14, 2, 18.778442
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.664122
4, 2, 2, 1, 1, 2, 7.111111
6, 2, 2, 1, 1, 2, 10.706320
8, 2, 2, 1, 1, 2, 14.328358
10, 2, 2, 1, 1, 2, 17.142859
12, 2, 2, 1, 1, 2, 20.794224
14, 2, 2, 1, 1, 2, 23.013699
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.568774
2, 4, 4, 1, 1, 4, 7.058824
2, 6, 6, 1, 1, 6, 10.588235
2, 8, 8, 1, 1, 8, 14.065933
2, 10, 10, 1, 1, 10, 16.724739
2, 12, 12, 1, 1, 12, 19.862068
2, 14, 14, 1, 1, 14, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 2.981366
4, 4, 4, 1, 4, 1, 8.275863
6, 6, 6, 1, 6, 1, 11.933702
8, 8, 8, 1, 8, 1, 14.545454
10, 10, 10, 1, 10, 1, 16.655100
12, 12, 12, 1, 12, 1, 16.172205
14, 14, 14, 1, 14, 1, 17.961054
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.990654
4, 4, 1, 4, 1, 4, 7.950310
6, 6, 1, 6, 1, 6, 11.162791
8, 8, 1, 8, 1, 8, 13.241379
10, 10, 1, 10, 1, 10, 14.414414
12, 12, 1, 12, 1, 12, 14.382023
14, 14, 1, 14, 1, 14, 15.174193
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.529412
4, 4, 4, 1, 1, 4, 13.963635
6, 6, 6, 1, 1, 6, 26.832298
8, 8, 8, 1, 1, 8, 50.526318
10, 10, 10, 1, 1, 10, 66.298340
12, 12, 12, 1, 1, 12, 80.000000
14, 14, 14, 1, 1, 14, 103.384613
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.595506
4, 4, 1, 4, 4, 1, 14.014599
6, 6, 1, 6, 6, 1, 26.422020
8, 8, 1, 8, 8, 1, 50.860928
10, 10, 1, 10, 10, 1, 66.481995
12, 12, 1, 12, 12, 1, 84.705879
14, 14, 1, 14, 14, 1, 113.076920
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.981366
4, 4, 8, 4, 4, 2, 8.152866
6, 6, 12, 6, 6, 2, 12.360516
8, 8, 16, 8, 8, 2, 15.314057
10, 10, 20, 10, 10, 2, 17.378712
12, 12, 24, 12, 12, 2, 17.605705
14, 14, 28, 14, 14, 2, 18.778442
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.678161
4, 2, 2, 1, 1, 2, 7.111111
6, 2, 2, 1, 1, 2, 10.706320
8, 2, 2, 1, 1, 2, 14.328358
10, 2, 2, 1, 1, 2, 17.021276
12, 2, 2, 1, 1, 2, 20.425533
14, 2, 2, 1, 1, 2, 23.914591
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.650190
2, 4, 4, 1, 1, 4, 7.164179
2, 6, 6, 1, 1, 6, 10.827067
2, 8, 8, 1, 1, 8, 14.382023
2, 10, 10, 1, 1, 10, 17.021276
2, 12, 12, 1, 1, 12, 20.645161
2, 14, 14, 1, 1, 14, 23.661972
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 0.483384
4, 4, 4, 1, 4, 1, 2.184300
6, 6, 6, 1, 6, 1, 27.255520
8, 8, 8, 1, 8, 1, 4.120172
10, 10, 10, 1, 10, 1, 25.723473
12, 12, 12, 1, 12, 1, 28.944725
14, 14, 14, 1, 14, 1, 31.676767
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 0.475248
4, 4, 1, 4, 1, 4, 2.287076
6, 6, 1, 6, 1, 6, 3.961486
8, 8, 1, 8, 1, 8, 4.151351
10, 10, 1, 10, 1, 10, 5.066498
12, 12, 1, 12, 1, 12, 7.133127
14, 14, 1, 14, 1, 14, 9.346314
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.535714
4, 4, 4, 1, 1, 4, 4.758364
6, 6, 6, 1, 1, 6, 9.931034
8, 8, 8, 1, 1, 8, 17.355932
10, 10, 10, 1, 1, 10, 113.744080
12, 12, 12, 1, 1, 12, 133.436295
14, 14, 14, 1, 1, 14, 167.402130
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 5.889571
4, 4, 1, 4, 4, 1, 23.272728
6, 6, 1, 6, 6, 1, 46.956524
8, 8, 1, 8, 8, 1, 83.027031
10, 10, 1, 10, 10, 1, 114.285713
12, 12, 1, 12, 12, 1, 61.385437
14, 14, 1, 14, 14, 1, 84.756760
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 1.032258
4, 4, 8, 4, 4, 2, 2.464698
6, 6, 12, 6, 6, 2, 9.250535
8, 8, 16, 8, 8, 2, 19.844961
10, 10, 20, 10, 10, 2, 6.486486
12, 12, 24, 12, 12, 2, 6.345942
14, 14, 28, 14, 14, 2, 7.090744
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.771218
4, 2, 2, 1, 1, 2, 2.848665
6, 2, 2, 1, 1, 2, 3.923706
8, 2, 2, 1, 1, 2, 4.836272
10, 2, 2, 1, 1, 2, 5.783133
12, 2, 2, 1, 1, 2, 6.914766
14, 2, 2, 1, 1, 2, 10.402477
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.538117
2, 4, 4, 1, 1, 4, 5.731343
2, 6, 6, 1, 1, 6, 8.648648
2, 8, 8, 1, 1, 8, 23.850931
2, 10, 10, 1, 1, 10, 27.428570
2, 12, 12, 1, 1, 12, 32.914284
2, 14, 14, 1, 1, 14, 10.944625
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.031149
4, 4, 4, 1, 4, 1, 2.148853
6, 6, 6, 1, 6, 1, 3.816254
8, 8, 8, 1, 8, 1, 4.106952
10, 10, 10, 1, 10, 1, 5.348785
12, 12, 12, 1, 12, 1, 6.004169
14, 14, 14, 1, 14, 1, 6.573504
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 0.474543
4, 4, 1, 4, 1, 4, 2.438095
6, 6, 1, 6, 1, 6, 3.972414
8, 8, 1, 8, 1, 8, 4.088368
10, 10, 1, 10, 1, 10, 5.513439
12, 12, 1, 12, 1, 12, 8.234453
14, 14, 1, 14, 1, 14, 10.539996
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.604534
4, 4, 4, 1, 1, 4, 4.848485
6, 6, 6, 1, 1, 6, 9.863013
8, 8, 8, 1, 1, 8, 17.028824
10, 10, 10, 1, 1, 10, 23.575638
12, 12, 12, 1, 1, 12, 27.692308
14, 14, 14, 1, 1, 14, 44.461246
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 0.526604
4, 4, 1, 4, 4, 1, 11.195335
6, 6, 1, 6, 6, 1, 22.500000
8, 8, 1, 8, 8, 1, 39.896107
10, 10, 1, 10, 10, 1, 53.333332
12, 12, 1, 12, 12, 1, 66.333969
14, 14, 1, 14, 14, 1, 84.604317
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 1.258191
4, 4, 8, 4, 4, 2, 8.152866
6, 6, 12, 6, 6, 2, 12.650073
8, 8, 16, 8, 8, 2, 12.239044
10, 10, 20, 10, 10, 2, 11.673152
12, 12, 24, 12, 12, 2, 11.933702
14, 14, 28, 14, 14, 2, 11.760000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.784387
4, 2, 2, 1, 1, 2, 3.310345
6, 2, 2, 1, 1, 2, 3.918367
8, 2, 2, 1, 1, 2, 4.854614
10, 2, 2, 1, 1, 2, 5.832321
12, 2, 2, 1, 1, 2, 8.263988
14, 2, 2, 1, 1, 2, 11.810193
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.226054
2, 4, 4, 1, 1, 4, 2.430380
2, 6, 6, 1, 1, 6, 3.573201
2, 8, 8, 1, 1, 8, 4.836272
2, 10, 10, 1, 1, 10, 5.693950
2, 12, 12, 1, 1, 12, 8.089888
2, 14, 14, 1, 1, 14, 11.606218
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.153846
4, 4, 4, 1, 4, 1, 2.208166
6, 6, 6, 1, 6, 1, 3.845127
8, 8, 8, 1, 8, 1, 4.123490
10, 10, 10, 1, 10, 1, 5.542726
12, 12, 12, 1, 12, 1, 6.013572
14, 14, 14, 1, 14, 1, 6.603032
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 1.031149
4, 4, 1, 4, 1, 4, 2.351500
6, 6, 1, 6, 1, 6, 3.977901
8, 8, 1, 8, 1, 8, 5.450674
10, 10, 1, 10, 1, 10, 5.062223
12, 12, 1, 12, 1, 12, 6.024054
14, 14, 1, 14, 1, 14, 31.049505
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.219822
4, 4, 4, 1, 1, 4, 4.800000
6, 6, 6, 1, 1, 6, 8.971963
8, 8, 8, 1, 1, 8, 17.514254
10, 10, 10, 1, 1, 10, 23.785925
12, 12, 12, 1, 1, 12, 31.793928
14, 14, 14, 1, 1, 14, 50.635090
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 1.224490
4, 4, 1, 4, 4, 1, 4.794007
6, 6, 1, 6, 6, 1, 9.851768
8, 8, 1, 8, 8, 1, 17.258427
10, 10, 1, 10, 10, 1, 22.878931
12, 12, 1, 12, 12, 1, 27.472178
14, 14, 1, 14, 14, 1, 44.503311
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 1.024546
4, 4, 8, 4, 4, 2, 2.725337
6, 6, 12, 6, 6, 2, 4.196212
8, 8, 16, 8, 8, 2, 4.721795
10, 10, 20, 10, 10, 2, 4.751534
12, 12, 24, 12, 12, 2, 5.718068
14, 14, 28, 14, 14, 2, 5.581396
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.227621
4, 2, 2, 1, 1, 2, 2.430380
6, 2, 2, 1, 1, 2, 3.645570
8, 2, 2, 1, 1, 2, 4.848485
10, 2, 2, 1, 1, 2, 5.818182
12, 2, 2, 1, 1, 2, 8.170213
14, 2, 2, 1, 1, 2, 8.853755
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.537815
2, 4, 4, 1, 1, 4, 5.731343
2, 6, 6, 1, 1, 6, 8.597014
2, 8, 8, 1, 1, 8, 11.462687
2, 10, 10, 1, 1, 10, 13.445378
2, 12, 12, 1, 1, 12, 16.225353
2, 14, 14, 1, 1, 14, 18.823530
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.052632
6, 6, 6, 1, 6, 1, 3.840000
10, 10, 10, 1, 10, 1, 5.583992
14, 14, 14, 1, 14, 1, 8.980527
18, 18, 18, 1, 18, 1, 10.881612
22, 22, 22, 1, 22, 1, 12.862363
26, 26, 26, 1, 26, 1, 16.653664
30, 30, 30, 1, 30, 1, 20.329412
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 1.186650
6, 6, 1, 6, 1, 6, 3.661017
10, 10, 1, 10, 1, 10, 8.295887
14, 14, 1, 14, 1, 14, 8.804043
18, 18, 1, 18, 1, 18, 8.430182
